value_norm,Akkademia_df,CDLI_df,Cuneiml_df,Nuolenna_df,TextFabric_df,osl_df,wiki_df,oslID
adamin2,𒈘,𒈘,𒈘,,𒈙,,,
adamin3,𒄒,𒄒,𒄒,,𒄒,,,
adamin4,𒉫,𒉫,𒉫,,𒉫,,,
adamin5,𒂛,𒂛,𒂛,,𒂛,,,
adamin₂,𒈘,,,𒈘,,𒈘。𒈙,,
adamin₃,𒄒,,,𒄒,,𒄒,,
adamin₄,𒉫,,,𒉫,,𒉫,,
adamin₅,𒂛,,,𒂛,,𒂛,,
adaminₓ,𒂜,,,𒂜,,𒂜,,
adamu,𒁁𒈪,,,𒁁𒈪,𒁁𒈪,𒁁𒈪,,
adan,,,,,𒌓,,,
adar,𒀀𒄠,,,𒀀𒄠,𒀀𒄠,,,
adar2,𒄠,𒄠,,,𒄠,,,
adar3,𒃿,𒃿,,,𒃿,,,
adar₂,𒄠,,,𒄠,,𒄠,,
adar₃,𒃿,,,𒃿,,𒃿,,
adarₓ,𒋥,,,𒋥,,𒋥,,
adaₓ,𒇿,,,𒇿,,𒇿,,
adda,𒇿,,𒇿,𒇿,𒇽𒁁。𒇿,𒇿,,
adda2,𒇼,𒇼,𒇼,,𒇼,,,
adda3,𒌑𒄉,𒌑𒄉,,,𒌑𒄉,,,
adda4,𒄉,𒄉,,,𒄉,,,
addakuyaₓ,,,,,,𒂹,,
adda₂,𒇼,,,𒇼,,𒇼,,
adda₃,𒌑𒄉,,,𒌑𒄉,,𒌑𒄉,,
adda₄,𒄉,,,𒄉,,𒄉,,
addaₓ,𒍞,,,𒍞,,None。X𒍗。𒁁𒇽。𒇥。𒇽。𒇿𒁁。𒇿𒁁𒀀。𒈕。𒍞。𒎉,,
addir,𒀀𒉺𒄐𒉻𒋛𒀀,,𒀀𒉺𒄐𒉻𒋛𒀀,𒀀𒉺𒄐𒉻𒋛𒀀,𒀀𒉺𒄐𒉻𒋛𒀀,𒀀𒉺𒄐𒉻𒋛𒀀,,
addir₃,,𒉺𒄐𒉻,,𒉺𒄐𒉻,,𒉺𒄐𒉻,,
addirₓ,𒉺,,,𒉺,,X𒃰𒃻𒀀𒋛𒀀。𒀀X。𒀀𒄐𒃰𒃻𒀀𒋛。𒀀𒄐𒉻𒋛𒀀。𒀀𒄐𒋛X。𒄐𒃰𒃻𒀀𒋛𒀀。𒄐𒉻𒀀𒋛。𒉺。𒉺𒂁𒄑𒉻𒋛𒀀。𒉺𒄐𒋛𒆗𒊒。𒉻𒄐𒋛。𒋛𒀀𒃻X,,
addu2,𒌑𒄉,𒌑𒄉,𒌑𒄉,,𒌑𒄉,,,
addu3,𒄉,𒄉,,,𒄉,,,
addu4,𒍞,𒍞,,,𒍞,,,
addu₂,𒌑𒄉,,,𒌑𒄉,,𒌑𒄉,,
addu₃,𒄉,,,𒄉,,𒄉,,
addu₄,𒍞,,,𒍞,,𒍞,,
adgub,,𒀜𒆤,,𒀜𒆤,,𒀜𒆤,,
adgubₓ,,,,,,𒆤,,
adkin,𒋠𒇴,,𒋠𒇴,𒋠𒇴,𒋁,𒋠𒇴,,
adkinₓ,,,,,,𒋁,,
ad×eš₂,,𒒂,,𒒂,,,,
ad₂,𒄉,,,𒄉,,𒄉,,
ad₃,𒇼,,,𒇼,,𒇼,,
ad₄,𒍞,,,𒍞,,𒍞,,
ad₅,𒌑𒄉,,,𒌑𒄉,,𒌑𒄉,,
ad₆,𒇿,,,𒇿,,𒇽𒇥。𒇿,,
ad₇,𒈕,,,𒈕,,𒈕,,
ad₈,,,,,,𒎉,,
adₓ,𒂗,,,𒂗,,None。𒁁𒇽。𒂗。𒈂。𒎉。𒔙,,
ag,𒀝,,𒀝,𒀝,𒀝,𒀝,,
ag eg ig ug,,,𒀝 𒅅 𒅅 𒊌,,,,,
ag2,𒉘,𒉘,𒉘,,𒉘,,,
ag3,𒋃,𒋃,,,𒋃,,,
aga,𒂇,,𒂇,𒂇,𒂆,𒂇,,
aga-us2,𒂆𒍑,𒂆𒍑,,,,,,
aga-us₂,𒂆𒍑,,,𒂆𒍑,,𒂆𒍑,,
aga2,𒉘,𒉘,𒉘,,𒉘,,,
aga3,𒂆,𒂆,𒂆,,𒂅,,,
agal,𒅣,,,𒅣,,𒅣,,
agam,𒀂,,𒀂,𒀂,𒀀𒁁。𒀂,𒀀𒁁。𒀂,,
agan,,,,,𒋺𒄗,,,
agan2,,,,,𒁛,,,
aganₓ,𒆍,,,𒆍,,𒆍,,
agar,,,,,𒀀𒃼,,,
agar2,𒇋,𒇋,𒇋,,𒇋,,,
agar3,𒆻,𒆻,𒆻,,𒆻,,,
agar4,𒅊,𒅊,𒅊,,𒅊,,,
agar5,𒅐,𒅐,,,𒀀𒈖。𒅐,,,
agar6,𒅎𒂂,𒅎𒂂,,,𒅎𒂂,,,
agargara,𒉩,,𒉩,𒉩,𒉩,𒉩,,
agargara2,,,,,𒉣𒄩,,,
agargara{ku6},,,𒉩 𒄩,,,,,
agargaraₓ,𒉣,,,𒉣,,,,
agarim,𒂼𒀭𒈹,,,𒂼𒀭𒈹,𒂼𒀭𒈹,𒂼𒀭𒈹,,
agarin,𒀌,,𒀌,𒀌,𒀌,𒀌,,
agarin2,𒀎,𒀎,𒀎,,𒀎,,,
agarin3,𒂼𒂆,𒂼𒂆,,,𒂼𒂅,,,
agarin4,𒂼𒋆,𒂼𒋆,,,𒂼𒋆。𒂼𒋋,,,
agarin5,𒂼𒋋,𒂼𒋋,,,𒂼𒋆。𒂼𒋋,,,
agarin₂,𒀎,,,𒀎,,𒀎,,
agarin₃,𒂼𒂆,,,𒂼𒂆,,𒂼𒂆,,
agarin₄,𒂼𒋆,,,𒂼𒋆,,𒂼𒋆,,
agarin₅,𒂼𒋋,,,𒂼𒋋,,𒂼𒋋,,
agarinₓ,𒀊,,,𒀊,,None。𒀊。𒀏。𒇉,,
agar₂,𒇋,,,𒇋,,𒇋,,
agar₃,𒆻,,,𒆻,,𒆻,,
agar₄,𒅊,,,𒅊,,𒅊,,
agar₅,𒅐,,,𒅐,,𒅐,,
agar₆,𒅎𒂂,,,𒅎𒂂,,𒅎𒂂,,
agasz,𒁁.X,𒁁.X,,,,,,
agaš,𒁁.X,𒁁。𒁁.X,,𒁁,,𒁁X,,
aga₂,𒉘,,,𒉘,,𒉘,,
aga₃,𒂆,,,𒂆,,𒂆,,
agaₓ,,,,,,𒅍,,
agrig,𒅆𒁾,,𒅆𒁾,𒅆𒁾,𒅆𒁾,𒅆𒁾,,
agrigₓ,𒅆𒍣,,,𒅆𒍣,,𒅆𒍣,,
agrun,𒂍𒉣,,𒂍𒉣,𒂍𒉣,𒂍𒉣,𒂍𒉣,,
agrunaₓ,𒂍𒉣,,,𒂍𒉣,,𒂍𒉣,,
agruₓ,𒂍𒉣,,,𒂍𒉣,,𒂍𒉣,,
agu,𒂇,,,𒂇,𒂆,𒂇,,
agu₂,,𒅗,,𒅗,,𒅗,,
agxerim,,,,,𒀞,,,
agxšita2,,,,,𒀟,,,
ag₂,𒉘,,,𒉘,,𒉘,,
ag₃,𒋃,,,𒋃,,𒋃,,
agₓ,𒉚,,,𒉚,,𒉚,,
ah,𒄴,,𒄴,𒄴,,𒄴,,
ah eh ih uh,,,𒄴 𒄴 𒄴 𒄴,,,,,
ah2,𒋀,𒋀,,,,,,
ah3,𒌓,𒌓,𒌓,,,,,
ah4,𒀪,𒀪,,,,,,
ah5,𒀉,𒀉,,,,,,
ah6,𒌔,𒌔,𒌔,,,,,
aha,𒄴,,,𒄴,,𒄴,,
aha2,𒋀,𒋀,,,,,,
aha3,𒉽,𒉽,,,,,,
aha₂,𒋀,,,𒋀,,𒋀,,
aha₃,𒉽,,,𒉽,,𒉽,,
ahhur,𒅆𒀀,,,𒅆𒀀,,,,
ahhur?,,,,,,𒅆𒀀,,
ahi,𒋀,,,𒋀,,𒋀,,
ahi2,𒀉,𒀉,,,,,,
ahi₂,𒀉,,,𒀉,,𒀉,,
ahud,𒅒,,,𒅒,,𒅒,,
ah₂,𒋀,,,𒋀,,𒋀,,
ah₃,𒌓,,,𒌓,,𒌓,,
ah₄,𒀪,,,𒀪,,𒀪,,
ah₅,𒀉,,,𒀉,,𒀉,,
ah₆,𒌔,,,𒌔,,𒌔,,
ahₓ,,,,,,𒄖,,
ai,𒀀𒀀,,𒀀𒀀,𒀀𒀀,𒀀𒀀,𒀀𒀀,,
aia,𒀀𒀀,,𒀀𒀀,𒀀𒀀,𒀀𒀀,𒀀𒀀,,
aia2,𒀀,𒀀,𒀀,,𒀀,,,
aia3,𒌨,𒌨,,,𒌨,,,
aia4,𒆹,𒆹,,,𒆹,,,
aia₂,𒀀,,,𒀀,,𒀀,,
aia₃,𒌨,,,𒌨,,𒌨,,
aia₄,𒆹,,,𒆹,,𒆹,,
aie,,,,,𒀀𒀀,,,
aii,,,,,𒀀𒀀,,,
aiia,,,,,𒀀𒀀,,,
aiie,,,,,𒀀𒀀,,,
aiii,,,,,𒀀𒀀,,,
aiiu,,,,,𒀀𒀀,,,
aiu,,,,,𒀀𒀀,,,
aj,,,𒀝,,,,,
aj2,,,𒉘,,,,,
aja,,,,,𒀀𒀀,,,
aje,,,,,𒀀𒀀,,,
aji,,,,,𒀀𒀀,,,
ajja,,,,,𒀀𒀀,,,
ajje,,,,,𒀀𒀀,,,
ajji,,,,,𒀀𒀀,,,
ajju,,,,,𒀀𒀀,,,
aju,,,,,𒀀𒀀,,,
ak,𒀝,,𒀝,𒀝,𒀝,𒀝,,
ak ek ik uk,,,𒀝 𒅅 𒅅 𒊌,,,,,
ak3,𒋃,𒋃,,,𒋃,,,
ak?,,,𒀝,,,,,
aka,𒀝,,𒀝,𒀝,𒀝,𒀝,,
aka2,𒉘,𒉘,,,𒉘,,,
aka3,𒋃,𒋃,𒋃,,𒋃,,,
aka4,𒆍,𒆍,,,𒆍,,,
akan,𒁜,,,𒁜,𒁛,𒁛,,
akan2,𒆍,𒆍,𒆍,,𒆍,,,
akan3,𒇖,𒇖,𒇖,,𒇖,,,
akani,𒁜,,𒁜,𒁜,𒁛,𒁛,,
akan₂,𒆍,,,𒆍,,𒆍,,
akan₃,𒇖,,,𒇖,,𒇖,,
akar,𒉬,,𒉬,𒉬,𒉧,𒉬,,
akarₓ,𒉧,,,𒉧,,𒂛。𒉧,,
aka₂,𒉘,,,𒉘,,𒉘,,
aka₃,𒋃,,,𒋃,,𒋃,,
aka₄,𒆍,,,𒆍,,𒆍,,
akaₓ,,,,,,𒊕,,
akiₓ,𒀝,,,𒀝,,𒀝,,
akkad,,,,,𒆠𒀭𒅎,,,
akkan3,𒇖,𒇖,,,,,,
akkan₃,𒇖,,,𒇖,,𒇖,,
akkil,𒃰𒋺𒋛,,𒃰𒋺𒋛,𒃰𒋺𒋛,𒃰𒋺𒋛,𒃰𒋺𒋛,,
akkil2,𒀜𒆤,𒀜𒆤,𒀜𒆤,,𒀜𒆤,,,
akkil3,𒃰𒋺,𒃰𒋺,,,,,,
akkil₂,𒀜𒆤,,,𒀜𒆤,,𒀜𒆤,,
akkil₃,𒃰𒋺,,,𒃰𒋺,,𒃰𒋺,,
akkilₓ,𒀜𒆪,,,𒀜𒆪,,𒀊𒆤。𒀊𒆤𒆤。𒀜𒂍。𒀜𒆤𒆤。𒀜𒆪。𒃰𒋺𒋛𒀀,,
akraₓ,,,,,,𒉧,,
akszak,𒌔,𒌔,𒌔,,,,,
akszak2,𒀀𒆵,𒀀𒆵,,,,,,
akszak3,𒌚𒆵,𒌚𒆵,,,,,,
akszak{ki},,,𒌔 𒆠,,,,,
akszakₓ,𒂩,𒂩,,,,,,
aktum,𒀀𒋢,,𒀀𒋢,𒀀𒋢,𒀀𒋢,𒀀𒋢,,
aktum2,𒋢𒀀,𒋢𒀀,,,𒋢𒀀,,,
aktum2{tug2},,,𒋢𒀀 𒌆,,,,,
aktum₂,𒋢𒀀,,,𒋢𒀀,,𒋢𒀀,,
aktumₓ,,,,,,𒀀𒍪,,
akxšita.giš,,,,,𒀟,,,
ak×(šita.giš),,𒀟,,𒀟,,,,
ak×erin₂,,𒀞,,𒀞,,,,
akšak,𒌔,,,𒌔,𒌔,𒌔,,
akšak2,,,,,𒀀𒆵,,,
akšak3,,,,,𒌗𒆵,,,
akšak₂,𒀀𒆵,,,𒀀𒆵,,𒀀𒆵,,
akšak₃,𒌚𒆵,,,𒌚𒆵,,,,
akšak₃?,,,,,,𒌚𒆵,,
akšakₓ,𒂩,,,𒂩,,𒂩,,
ak₃,𒋃,,,𒋃,,𒋃,,
akₓ,𒅙,,,𒅙,,𒅙,,
al,𒀠,,𒀠,𒀠,𒀠,𒀠,,
al el il ul,,,𒀠 𒂖 𒅋 𒌌,,,,,
al.še,,𒀠𒊺,,𒀠𒊺,,,,
al2,𒀩,𒀩,𒀩,,𒀩,,,
al3,𒃷,𒃷,𒃷,,𒃷,,,
al5,𒌓,𒌓,,,𒌓,,,
al6,𒈤,𒈤,,,𒈤,,,
al7,,,,,𒀭,,,
al8,𒌷,𒌷,,,𒌷,,,
al9,𒅋,𒅋,,,𒅋,,,
ala,𒌷,,,𒌷,𒌷,𒌷,,
ala2,𒌷𒈨𒌋𒌋𒌋,𒌷𒈨𒌋𒌋𒌋,,,𒌷𒈨𒌍,,,
ala3,𒀠,𒀠,,,𒀠,,,
alab,,,,,𒄞,,,
alad,𒆘,,𒆘,𒆘,𒆘,𒆘,,
alad2,𒆗,𒆗,𒆗,,𒄨,,,
alad3,,,,,𒆘,,,
alad₂,𒆗,,,𒆗,,,,
alad₂?,,,,,,𒆗,,
alag,𒀩,,,𒀩,𒀩,𒀩,,
alal,𒋄,,𒋄,𒋄,𒋄,𒋄,,
alal2,𒋃,𒋃,,,𒋃,,,
alal3,𒄒,𒄒,,,𒄒,,,
alal4,𒃺,𒃺,,,𒄒,,,
alala,𒀩,,,𒀩,𒀩,𒀩,,
alala2,,,,,𒋤,,,
alala3,,,,,𒌓,,,
alalaₓ,,,,,,𒋄,,
alalmu,𒋄,,,𒋄,,𒋄,,
alal₂,𒋃,,,𒋃,,𒋃,,
alal₃,𒄒,,,𒄒,,𒄒,,
alal₄,𒃺,,,𒃺,,,,
alal₄?,,,,,,𒃺,,
alalₓ,𒃷,,,𒃷,,𒃷。𒆠𒈗𒁺,,
alam,𒀩,,𒀩,𒀩,𒀩,𒀩,,
alamaₓ,𒉏,,,𒉏,,𒉏,,
alammusz,𒋭,𒋭,,,,,,
alammuš,𒋭,,𒋭,𒋭,,𒋭,,
alammuš2,,,,,𒈹𒋭,,,
alammušₓ,,,,,,𒈹X,,
alamu,𒋄,,,𒋄,𒋄,𒋄,,
alamu2,𒋃,𒋃,,,𒋃,,,
alamusz,𒋭,𒋭,,,,,,
alamuš,𒋭,,,𒋭,,𒋭,,
alamuš2,,,,,𒈹𒋭,,,
alamu₂,𒋃,,,𒋃,,𒋃,,
alamₓ,,,,,,None,,
alan,𒀩,,𒀩,𒀩,𒀩,𒀩,,
alanₓ,,,,,,𒊨。𒋺𒀩,,
alap,𒄞,,,𒄞,𒄞,𒄞,,
alaŋ,𒀩,,,𒀩,,𒀩,,
ala₂,𒌷𒈨𒌋𒌋𒌋,,,𒌷𒈨𒌋𒌋𒌋,,,,
ala₂?,,,,,,𒌷𒎌,,
ala₃,𒀠,,,𒀠,,𒀠,,
alaₓ,𒋄,,,𒋄,,None。𒁍。𒋄,,
alba,𒂷,,,𒂷,𒂷,𒂷,,
alba2,𒆜𒆳,𒆜𒆳,,,𒆜𒆳,,,
alba₂,𒆜𒆳,,,𒆜𒆳,,𒆜𒆳,,
ale,𒌷,,,𒌷,𒌷,𒌷,,
aleph,,𒀪,,𒀪,𒀪,,,
algames,𒌓𒊩𒄸,,,𒌓𒊩𒄸,𒌓𒊩𒄸,𒌓𒊩𒄸,,
algamesz,𒌓𒊩𒄸,𒌓𒊩𒄸,,,,,,
algameš,𒌓𒊩𒄸,,𒌓𒊩𒄸,𒌓𒊩𒄸,,𒌓𒊩𒄸,,
algamešₓ,,,,,,𒊩𒄸,,
algamis,𒌓𒊩𒄸,,,𒌓𒊩𒄸,,𒌓𒊩𒄸,,
alha,𒆜𒆳,,,𒆜𒆳,,𒆜𒆳,,
ali,𒌷,,𒌷,𒌷,𒌷,𒌷,,
alikₓ,,,,,,𒁺𒆠,,
alim,𒄋,,𒄋,𒄋,𒄍,𒄋,,
alima,𒄋,,𒄋,𒄋,𒄍,𒄋,,
alim⁻,,𒄋,,𒄋,,𒅆𒆧,,
alimₓ,𒄍,,,𒄍,,𒍽,,
alimₓ?,,,,,,𒂺,,
alla,𒉄,,,𒉄,𒉄,𒉄,,
almu,𒋄,,,𒋄,𒋄,𒋄,,
almu2,𒋃,𒋃,,,𒋃,,,
almu₂,𒋃,,,𒋃,,𒋃,,
alpu,𒄞,,,𒄞,,,,
alsogal.šaḫ,,,,,𒃲𒋚,,,
alsonunuz.ab2xašgab,,,,,𒉮,,,
alsonunuz.ab2xla,,,,,𒉴,,,
alsonunuz.ab2xsila3,,,,,𒉶,,,
alsošu2.an,,,,,𒁇𒀭,,,
alu,𒌷,,𒌷,𒌷,𒌷,𒌷,,
aluraₓ,,,,,,𒁃,,
alurₓ,𒁃,,,𒁃,,𒁃。𒋞,,
alxal,,,,,𒀡,,,
alxdim2,,,,,𒀢,,,
alxgim,,,,,𒀢,,,
alxgiš,,,,,𒀣,,,
alxki,,,,,𒀦,,,
alxkid2,,,,,𒀥,,,
alxuš,,,,,𒀨,,,
alxše,,,,,𒀧,,,
alxḫa,,,,,𒀤,,,
al×al,,𒀡,,𒀡,,,,
al×dim₂,,𒀢,,𒀢,,,,
al×giš,,𒀣,,𒀣,,,,
al×ha,,𒀤,,𒀤,,,,
al×kad₃,,𒀥,,𒀥,,,,
al×ki,,𒀦,,𒀦,,,,
al×uš,,𒀨,,𒀨,,,,
al×še,,𒀧,,𒀧,,,,
alḫa,,,,,𒆜𒆳,,,
al’al,,,,,𒄒,,,
al’al2,,,,,𒃹。𒄒,,,
al₂,𒀩,,,𒀩,,𒀩,,
al₃,𒃷,,,𒃷,,,,
al₃?,,,,,,𒃷,,
al₅,𒌓,,,𒌓,,𒌓,,
al₆,𒈤,,,𒈤,,𒈤,,
al₈,𒌷,,,𒌷,,𒌷,,
al₉,𒅋,,,𒅋,,𒅋,,
alₓ,,,,,,𒀭。𒉌𒌇。𒊩𒄑。𒋖𒄑,,
am,𒄠,,𒄠,𒄠,𒄠,𒄠,,
am em imi um,,,𒄠 𒅎 𒅎 𒌝,,,,,
am em mi um,,,𒄠 𒅎 𒈪 𒌝,,,,,
am im um,,,𒄠 𒅎 𒌝,,,,,
am2,𒉘,𒉘,,,𒉘,,,
am3,𒀀𒀭,𒀀𒀭,𒀀𒀭,,𒀀𒀭,,,
am3#,,,𒀀𒀭,,,,,
am4,𒃘,𒃘,𒃘,,𒃘,,,
am5,𒃣,𒃣,,,𒃣,,,
am6,𒀭,𒀭,𒀭,,𒀭,,,
am7,𒉿,𒉿,𒉿,,𒉿,,,
ama,𒂼,,𒂼,𒂼,𒂼,𒂼,,
ama.a.tu,,,,,𒂼𒀀𒌅,,,
ama.an.muš3,,,,,𒂼𒀭𒈹,,,
ama.dinnin,,,,,𒂼𒀭𒈹,,,
ama.gin2,,,,,𒂼𒂅,,,
ama.lul,,,,,𒂼𒈜,,,
ama.lul.la,,,,,𒂼𒈜𒆷,,,
ama.tu,,,,,𒂼𒌅,,,
ama.šim,,,,,𒂼𒋆,,,
ama.šimxnig2,,,,,𒂼𒋋,,,
ama2,𒄠,𒄠,,,𒄠,,,
ama3,𒄀𒇻,𒄀𒇻,,,𒄀𒇻,,,
ama4,𒃘,𒃘,,,𒃘,,,
ama5,𒃣,𒃣,𒃣,,𒂑。𒃣,,,
ama6,𒆾,𒆾,,,𒆾,,,
amagaₓ,,,,,,𒈻,,
amagea,,𒈹𒁲,,𒈹𒁲,,𒀀𒈹𒁲,,
amagi,𒈹𒁲,,,𒈹𒁲,𒀀𒈹𒁲。𒈻。𒍝𒈹𒁲,𒈻,,
amagi2,𒈹𒁲,𒈹𒁲,,,𒀀𒈹𒁲,,,
amagi3,𒈹𒁲,𒈹𒁲,,,𒍝𒈹𒁲,,,
amagi4,𒈹𒁲,𒈹𒁲,,,𒍝𒈽𒁲,,,
amagi₂,𒈹𒁲,,,𒈹𒁲,,𒀀𒈹𒁲,,
amagi₃,𒈹𒁲,,,𒈹𒁲,,𒍝𒈹𒁲,,
amagi₄,𒈹𒁲,,,𒈹𒁲,,𒍝𒈽𒁲,,
amagiₓ,𒈹𒁲,,,𒈹𒁲,,𒀀𒈹𒀀𒁲。𒀀𒈺𒁲。𒈹𒁲。𒈼,,
amah,𒇦,,,𒇦,,𒇦,,
amalu,𒂼𒀭𒈹,,𒂼𒀭𒈹,𒂼𒀭𒈹,𒂼𒀭𒈹,𒂼𒀭𒈹,,
amalug,𒂼𒈜,,𒂼𒈜,𒂼𒈜,,,,
amalug?,,,,,,𒂼𒈜,,
amaluₓ,,,,,,𒂼𒈹,,
amam,,,,,𒈻,,,
aman,𒉽𒉽,,,𒉽𒉽,,𒉽𒉽,,
amar,𒀫,,𒀫,𒀫,𒀫,𒀫,,
amar.da,,𒀫𒁕,,𒀫𒁕,𒀫𒁕,,,
amar.ud,,𒀫𒌓,,𒀫𒌓,𒀫𒌓,,,
amaraₓ,,,,,,𒀲。𒋞𒀲,,
amarim,𒂼𒀭𒈹,,,𒂼𒀭𒈹,,,,
amarim?,,,,,,𒂼𒀭𒈹,,
amarxše,,,,,𒀬,,,
amar×še,,𒀬,,𒀬,,,,
amar×še.amar×še,,𒀬𒀬,,𒀬𒀬,,,,
amasz,𒁦,𒁦,𒁦,,,,,
amasza,𒁦,𒁦,,,,,,
amat,𒊩𒆳,,𒊩𒆳,𒊩𒆳,𒊩𒆳,𒊩𒆳,,
amaš,𒁦,,𒁦,𒁦,𒁦,𒁦,,
amaša,𒁦,,,𒁦,,𒁦,,
amašₓ,,,,,,None,,
ama₂,𒄠,,,𒄠,,𒄠,,
ama₃,𒄀𒇻,,,𒄀𒇻,,,,
ama₃?,,,,,,𒄀𒇻,,
ama₄,𒃘,,,𒃘,,𒃘,,
ama₅,𒃣,,,𒃣,,𒃣,,
ama₆,𒆾,,,𒆾,,𒆾,,
amaₓ,𒂑,𒂍𒊩。𒂑,,𒂍𒊩,,𒂍𒊩。𒂑。𒇉,,
ambar,𒆹,,𒆹,𒆹,𒆹,𒆹,,
ambara,𒆹,,,𒆹,,𒆹,,
ambarₓ,𒇅,,,𒇅,,𒇅,,
ame,𒂼,,,𒂼,𒂼,𒂼,,
ame2,𒃣,𒃣,𒃣,,𒂑。𒃣,,,
amedu,𒂼𒀀𒌅,,,𒂼𒀀𒌅,𒂼𒀀𒌅,𒂼𒀀𒌅,,
ame₂,𒃣,,,𒃣,,𒃣,,
ameₓ,𒂍𒊩,,,𒂍𒊩,,𒂍𒊩。𒂑,,
ami,𒂼,,,𒂼,𒂼,𒂼,,
ami2,𒃣,𒃣,,,,,,
ami₂,𒃣,𒃣,,,,𒃣,,
amma,𒆳,,,𒆳,𒆳,𒆳,,
ammaₓ,𒆠,,,𒆠,,𒂼。𒆠,,
amme,,,,,𒀵,,,
amna,𒌓,,,𒌓,𒌓,𒌓,,
amna2,𒌋𒌋,𒌋𒌋,,,𒌋𒌋,,,
amna₂,𒌋𒌋,,,𒌋𒌋,,𒎙,,
amra,𒄑𒈣𒊏,,,𒄑𒈣𒊏,,𒄑𒈣𒊏,,
amti,,𒊩𒆳,,𒊩𒆳,,𒊩𒆳,,
amtu,𒊩𒆳,,𒊩𒆳,𒊩𒆳,𒊩𒆳,𒊩𒆳,,
amurrum,𒈥𒌅,,,𒈥𒌅,,𒈥𒌅,,
amuru,𒆤𒈤,,,𒆤𒈤,,𒆤𒈤,,
amusz,𒀇,𒀇,,,,,,
amusza,𒀇,𒀇,,,,,,
amuš,𒀇,,,𒀇,𒀇,𒀇,,
amuša,𒀇,,,𒀇,𒀇,𒀇,,
amušₓ,,,,,,None,,
amxa,,,,,𒄟,,,
amīlu,,,,,𒇽,,,
am₂,𒉘,,,𒉘,,𒉘,,
am₃,𒀀𒀭,,𒀀𒀭,𒀀𒀭,,𒀀𒀭,,
am₄,𒃘,,,𒃘,,,,
am₄?,,,,,,𒃘,,
am₅,𒃣,,,𒃣,,𒃣,,
am₆,𒀭,,,𒀭,,𒀭,,
am₇,𒉿,,,𒉿,,𒉿,,
amₓ,𒂗,,,𒂗,,𒂗,,
an,𒀭,,𒀭,𒀭,𒀭,𒀭,,
an en in un,,,𒀭 𒂗 𒅔 𒌦,,,,,
an#,,,𒀭,,,,,
an&an,,𒀮,𒀮,𒀮,,,,
an&aš,,𒀭𒀸,,𒀭𒀸,,,,
an-na,𒀭𒈾,,,𒀭𒈾,,𒀭𒈾,,
an.3×an,,𒀭𒀯,,𒀭𒀯,,,,
an.a.engur,,,,,𒀭𒀀𒇉,,,
an.a.lagab×hal,,𒀭𒀀𒇉,,𒀭𒀀𒇉,,,,
an.a.nu,,,,,𒀭𒀀𒉡,,,
an.an,,𒀭𒀭,,𒀭𒀭,𒀭𒀭,,,
an.anše,,,,,𒀭𒀲,,,
an.aš.a.an,,𒀭𒀸𒀀𒀭,,𒀭𒀸𒀀𒀭,𒀭𒀸𒀀𒀭,,,
an.aš.an,,𒀭𒀸𒀭,,𒀭𒀸𒀭,𒀭𒀸𒀭,,,
an.aš@z.an,,𒀭𒀹𒀭,,𒀭𒀹𒀭,,,,
an.bara2,,,,,𒀭𒁈,,,
an.bara₂,,𒀭𒁈,,𒀭𒁈,,,,
an.diš.an,,𒀭𒁹𒀭,,𒀭𒁹𒀭,𒀭𒁹𒀭,,,
an.du.an,,𒀭𒁺𒀭,,𒀭𒁺𒀭,,,,
an.dul3,,,,,𒀭𒊨,,,
an.en.ki,,,,,𒀭𒂗𒆠,,,
an.en.zu,,,,,𒀭𒂗𒍪,,,
an.gu₂×kak,,𒀭𒄙,,𒀭𒄙,,,,
an.gu₂×nun,,𒀭𒄛,,𒀭𒄛,,,,
an.hu.mi.im,,𒀭𒄷𒈪𒅎,,𒀭𒄷𒈪𒅎,,,,
an.im,,𒀭𒅎,,𒀭𒅎,,,,
an.im.dugud,,𒀭𒅎𒂂,,𒀭𒅎𒂂,𒀭𒅎𒂂,,,
an.im.mi,,𒀭𒅎𒈪,,𒀭𒅎𒈪,𒀭𒅎𒈪,,,
an.me.eš,,,,,𒀭𒈨𒌍,,,
an.me.u.u.u,,𒀭𒈨𒌍,,𒀭𒈨𒌍,,,,
an.meš,,,,,𒀭𒈨𒌍,,,
an.muš,,𒀭𒈲,,𒀭𒈲,𒀭𒈲,,,
an.mušovermuš,,,,,𒀭𒈶,,,
an.muš₃.ab,,𒀭𒈹𒀊,,𒀭𒈹𒀊,,,,
an.muš₃.ab@g,,𒀭𒈹𒀕,,𒀭𒈹𒀕,,,,
an.na,,𒀭𒈾,,𒀭𒈾,𒀭𒈾,,,
an.naga,,𒀭𒉀,,𒀭𒉀,𒀭𒉀,,,
an.naga.an.nagainversum,,,,,𒀰,,,
an.nagaopposingan.naga,,,,,𒀰,,,
an.nagasquared,,,,,𒀱,,,
an.ne,,,,,𒀭𒉈,,,
an.ri8,,,,,𒀭𒈶,,,
an.sag@g,,𒀭𒊨,,𒀭𒊨,,,,
an.sal.tug₂.ib,,𒀭𒊩𒌆𒅁,,𒀭𒊩𒌆𒅁,,,,
an.tu,,𒀭𒌅,,𒀭𒌅,𒀭𒌅,,,
an.ug,,,,,𒀭𒊌,,,
an.zag,,𒀭𒍠,,𒀭𒍠,,,,
an.še.naga,,𒀭𒊺𒉀,,𒀭𒊺𒉀,𒀭𒊺𒉀,,,
